               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.038201,            0.037956,           0.0077327,              0.8646,             0.89662,             0.93111,             0.66395,            0.033629,            0.022719,           0.0037009,           0.0071785,           0.0071785,           0.0071785
                  59,            0.036922,            0.038419,           0.0070644,             0.87498,             0.88103,             0.92891,             0.67155,            0.033322,            0.022718,           0.0036478,            0.007129,            0.007129,            0.007129
                  60,             0.03935,            0.045291,           0.0074738,             0.83107,             0.87649,             0.92703,             0.65574,            0.033164,            0.022752,           0.0036538,           0.0070795,           0.0070795,           0.0070795
                  61,            0.036791,            0.038734,            0.007289,             0.82698,              0.8927,             0.92605,             0.64698,            0.033531,            0.022735,           0.0036556,             0.00703,             0.00703,             0.00703
                  62,            0.039226,            0.040525,           0.0081489,             0.83565,             0.88138,             0.92629,             0.64538,            0.033725,            0.022666,           0.0035858,           0.0069805,           0.0069805,           0.0069805
                  63,            0.038018,            0.036448,           0.0070434,             0.85711,              0.8738,             0.93374,             0.65577,            0.033172,            0.022727,           0.0035748,            0.006931,            0.006931,            0.006931
                  64,            0.039612,            0.039841,           0.0078024,             0.90571,             0.88341,             0.93593,             0.65578,            0.032766,            0.022497,           0.0034881,           0.0068815,           0.0068815,           0.0068815
                  65,            0.035801,             0.03984,           0.0080881,             0.91206,             0.85463,             0.93101,             0.67472,            0.033286,            0.022503,           0.0034505,            0.006832,            0.006832,            0.006832
                  66,            0.038508,            0.042751,           0.0069158,             0.89324,             0.88108,             0.93767,             0.67166,            0.031415,            0.022363,           0.0034431,           0.0067825,           0.0067825,           0.0067825
                  67,            0.036501,            0.041762,           0.0069542,              0.9164,             0.86667,             0.93251,             0.67053,            0.031651,            0.022147,            0.003384,            0.006733,            0.006733,            0.006733
                  68,            0.036604,             0.03795,           0.0069568,             0.91094,             0.87049,             0.92966,             0.65002,            0.032661,            0.022202,           0.0033813,           0.0066835,           0.0066835,           0.0066835
                  69,            0.037182,            0.042846,           0.0064155,             0.87918,             0.88939,             0.93126,             0.65754,            0.031506,            0.021934,           0.0033849,            0.006634,            0.006634,            0.006634
                  70,            0.035512,            0.042891,           0.0070595,             0.84985,             0.89593,             0.93535,              0.6669,            0.031575,             0.02185,           0.0033739,           0.0065845,           0.0065845,           0.0065845
                  71,            0.036793,            0.043063,           0.0064308,             0.87716,             0.87801,             0.92711,             0.66523,            0.031288,            0.021478,           0.0033472,            0.006535,            0.006535,            0.006535
                  72,            0.037054,            0.042947,            0.006284,             0.88155,             0.89225,             0.93552,             0.68218,            0.031054,            0.021219,           0.0033114,           0.0064855,           0.0064855,           0.0064855
                  73,            0.036926,            0.040986,           0.0075909,             0.84022,             0.92095,              0.9382,             0.67103,             0.03113,            0.021317,           0.0033171,            0.006436,            0.006436,            0.006436
                  74,             0.03585,            0.039572,           0.0071238,             0.89275,             0.88105,             0.93177,             0.67986,            0.031076,             0.02095,           0.0032877,           0.0063865,           0.0063865,           0.0063865
                  75,            0.035515,            0.044534,           0.0067747,             0.89448,             0.87396,             0.93507,             0.68281,            0.031798,            0.021097,           0.0032874,            0.006337,            0.006337,            0.006337
                  76,            0.035198,              0.0392,           0.0068086,              0.8788,             0.92596,             0.94563,             0.70105,            0.029271,            0.020939,           0.0033271,           0.0062875,           0.0062875,           0.0062875
                  77,            0.034693,            0.039908,           0.0075082,              0.8887,             0.91202,              0.9453,             0.69021,            0.030243,            0.021012,           0.0033251,            0.006238,            0.006238,            0.006238
                  78,            0.033922,            0.037926,           0.0066001,             0.88073,             0.91357,             0.94226,             0.68741,            0.030178,            0.020957,           0.0033087,           0.0061885,           0.0061885,           0.0061885
                  79,            0.035168,             0.03398,            0.006718,             0.90064,             0.90679,             0.94434,             0.67899,            0.029647,            0.020965,           0.0033001,            0.006139,            0.006139,            0.006139
                  80,            0.031617,            0.035419,           0.0066368,             0.86631,             0.89621,             0.94034,             0.67529,            0.033353,            0.021291,            0.003278,           0.0060895,           0.0060895,           0.0060895
                  81,            0.035535,            0.037938,           0.0062548,             0.88535,             0.90326,             0.94627,             0.69762,            0.030374,             0.02072,           0.0032406,             0.00604,             0.00604,             0.00604
                  82,            0.034915,            0.039434,           0.0063781,             0.86899,             0.90473,             0.94434,             0.68285,            0.030581,            0.021011,           0.0031976,           0.0059905,           0.0059905,           0.0059905
                  83,            0.034651,            0.039969,           0.0064262,             0.84402,             0.89885,              0.9423,             0.71402,            0.030359,            0.020884,           0.0032163,            0.005941,            0.005941,            0.005941
                  84,            0.034207,            0.038784,           0.0067311,             0.88731,             0.90054,             0.95154,             0.69736,            0.030954,            0.020951,           0.0031878,           0.0058915,           0.0058915,           0.0058915
                  85,            0.034973,            0.035872,           0.0066478,             0.88968,             0.90903,             0.95485,             0.72115,            0.030321,            0.020945,           0.0031911,            0.005842,            0.005842,            0.005842
                  86,            0.033746,            0.037145,           0.0069693,             0.87602,              0.9296,             0.95672,             0.72877,            0.029279,            0.020838,           0.0031389,           0.0057925,           0.0057925,           0.0057925
                  87,            0.034117,            0.041329,           0.0065122,             0.88138,             0.92724,             0.95016,             0.72562,            0.029762,            0.020738,           0.0030818,            0.005743,            0.005743,            0.005743
                  88,            0.035164,            0.038898,           0.0064644,             0.87854,             0.93622,             0.95904,             0.71058,            0.029553,            0.020477,            0.003052,           0.0056935,           0.0056935,           0.0056935
                  89,            0.033464,            0.040499,           0.0064567,             0.88021,              0.9307,             0.94948,             0.70888,            0.029267,             0.02038,           0.0029892,            0.005644,            0.005644,            0.005644
                  90,            0.036405,            0.037193,           0.0060678,             0.88881,             0.93399,             0.95285,             0.71797,            0.029094,            0.020447,           0.0029737,           0.0055945,           0.0055945,           0.0055945
                  91,            0.034097,            0.039764,           0.0062009,             0.86371,             0.92384,             0.94991,             0.71161,            0.029563,            0.020191,           0.0029584,            0.005545,            0.005545,            0.005545
                  92,             0.03508,            0.038929,           0.0056404,             0.87413,             0.91628,             0.95055,             0.67089,            0.030742,             0.02056,           0.0029435,           0.0054955,           0.0054955,           0.0054955
                  93,            0.034673,            0.037511,           0.0058385,             0.90112,             0.90652,             0.94823,              0.6989,             0.02976,            0.020244,           0.0029721,            0.005446,            0.005446,            0.005446
                  94,            0.033154,            0.033734,           0.0060283,             0.88115,             0.91314,             0.94761,             0.68442,            0.030077,            0.020369,           0.0029804,           0.0053965,           0.0053965,           0.0053965
                  95,            0.033744,            0.034218,           0.0062936,             0.89227,             0.91327,             0.94902,             0.71926,            0.028973,            0.020217,           0.0029933,            0.005347,            0.005347,            0.005347
                  96,            0.033068,            0.036746,           0.0064106,             0.90125,             0.91978,             0.95579,             0.71411,            0.028617,            0.020181,           0.0029877,           0.0052975,           0.0052975,           0.0052975
                  97,            0.034069,            0.036587,           0.0064431,             0.91731,             0.91521,             0.95913,             0.72153,            0.028227,            0.019854,            0.003016,            0.005248,            0.005248,            0.005248
                  98,            0.032866,            0.036645,           0.0062033,              0.9143,             0.90469,             0.95814,             0.71043,            0.029505,            0.020028,           0.0029861,           0.0051985,           0.0051985,           0.0051985
